Record ID,Border Color,Bottom Margin,Conditional Print Field,Created By ID,Created Date,Currency ISO Code,Deleted,Display Order,External ID,Filter Field,Filter Operator,Filter Value,Group Field,Hide Column Header,Keep Together,Keep With Next,Keep With Previous,Last Modified By ID,Last Modified Date,Page Break,Print Quote Totals,Roll-Up Field,Section Name,Summary Display,System Modstamp,Top Margin,SBQQ__Template__r.Template Name,SBQQ__Content__r.Content Name
"a1o0J000002g2N9QAI","","0.0","","0050J000006WjRgQAK","03/02/2017T13:03:31.000Z","USD","false","155.0","English-Terms in English","","","","","false","Auto","Auto","","0050J000006WjRgQAK","03/02/2017T13:03:31.000Z","","false","","Disclaimer","","03/03/2017T02:34:23.000Z","0.0","Korean","Disclaimer - Korean"
"a1o0J000002g2MQQAY","","0.0","","0050J000006WjRgQAK","03/02/2017T12:53:28.000Z","USD","false","155.0","English-Terms in English","","","","","false","Auto","Auto","","0050J000006WjRgQAK","03/02/2017T12:53:28.000Z","","false","","Disclaimer","","03/03/2017T02:34:23.000Z","0.0","Chinese","Disclaimer - Chinese"
"a1o0J000002g2MLQAY","","0.0","","0050J000006WjRgQAK","03/02/2017T12:52:49.000Z","USD","false","155.0","English-Terms in English","","","","","false","Auto","Auto","","0050J000006WjRgQAK","03/02/2017T12:52:49.000Z","","false","","Disclaimer","","03/03/2017T02:34:23.000Z","0.0","English-BB","Disclaimer - English"
"a1o0J000002g2MVQAY","","0.0","","0050J000006WjRgQAK","03/02/2017T12:54:08.000Z","USD","false","155.0","English-Terms in English","","","","","false","Auto","Auto","","0050J000006WjRgQAK","03/02/2017T12:54:08.000Z","","false","","Disclaimer","","03/03/2017T02:34:23.000Z","0.0","Chinese-BB","Disclaimer - Chinese"
"a1o200000048yy2AAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:51:06.000Z","USD","false","55.0","Korean-BB-MDQ-Other-BB","Other_MDQ_Output_Filter__c","equals","TRUE","","false","Auto","Auto","","0050J000006WjRgQAK","02/27/2017T13:53:48.000Z","","false","","MDQ-Other-BB","","03/03/2017T02:34:23.000Z","0.0","Korean-BB","MDQ-BB"
"a1o200000048yy3AAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:51:06.000Z","USD","false","100.0","Korean-BB-Grand Total","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Grand Total","","12/07/2016T08:53:57.000Z","0.15","Korean-BB","Grand Total: Korean"
"a1o200000048yy4AAA","","0.0","Has_Seats__c","00520000002CI2kAAG","09/02/2016T18:51:06.000Z","USD","false","50.0","Korean-BB-MDQ-Seats-BB","SBQQ__ProductFamily__c","equals","Seats","","false","Auto","Auto","","0050J000006WjRgQAK","12/08/2016T10:43:26.000Z","","false","","MDQ-Seats-BB","","03/04/2017T02:36:47.000Z","0.0","Korean-BB","MDQ-BB"
"a1o200000048yy5AAA","","0.1","","00520000002CI2kAAG","09/02/2016T18:51:06.000Z","USD","false","20.0","Korean-BB-Blue Line","","","","","false","Always","Always","Always","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Blue Line","","12/07/2016T08:53:57.000Z","0.1","Korean-BB","Blue Line"
"a1o200000048yy6AAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:51:06.000Z","USD","false","30.0","Korean-BB-Sell to Bill to Ship to","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Sell to Bill to Ship to","","12/07/2016T08:53:57.000Z","0.0","Korean-BB","Sell to Bill to Ship to"
"a1o200000048yy7AAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:51:06.000Z","USD","false","300.0","Korean-BB-Quote Terms","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Quote Terms","","12/07/2016T08:53:57.000Z","0.2","Korean-BB","Terms in Korean"
